gene	symbol	gene.name	phenotype.summary
YML030W	RCF1	Respiratory superComplex Factor	NA
YPL189C-A	COA2	Cytochrome Oxidase Assembly	Non-essential gene; null mutant is incapable of respiratory metabolism and unable to grow on nonfermentable carbon sources, and has petite phenotype, i.e. forms small colonies on fermentable carbon sources due to respiratory defect
YLR387C	REH1	REI1 Homolog	NA
YMR169C	ALD3	ALdehyde Dehydrogenase	Non-essential gene; null mutant is sensitive to ethanol and shows reduced survival in stationary phase; in systematic studies null mutant displays increased resistance to oxidative stress and sensitivity to acetaldehyde, copper, cordycepin and chitosan

YMR170C	ALD2	ALdehyde Dehydrogenase	Non-essential gene; null mutant displays beta-alanine and pantothenic acid auxotrophy; in systematic studies null mutant shows increased innate thermotolerance and resistance to acetate, and decreased competitive fitness

YOR335C	ALA1	ALAnyl-tRNA synthetase	Essential gene; conditional mutants are impaired in cell cycle progression at elevated temperatures; reduced function mutants show decreased competitive fitness and have shortened telomeres; heterozygous diploid nulls are sensitive to zinc chloride and to oxidative stress; overexpression slows vegetative growth in S288C, increases invasive growth in Sigma1278b

YBR121C	GRS1	Glycyl-tRNA Synthase	Essential gene; conditional mutations cause decreased growth rate and chromosome instability; reduction of function blocks respiratory growth; null mutation in heterozygous diploid causes starvation sensitivity

YPR033C	HTS1	Histidine-Trna Synthetase	Essential gene; heterozygous null mutant is sensitive to ethanol; reduction of funcion increases competitive fitness

YHR113W	APE4	NA	Non-essential gene; null mutant displays decreased resistance to cycloheximide and neomycin; heterozygous diploid null has decreased resistance to starvation; null mutant displays a small defect in vacuolar morphology in the presence of salt

YOL022C	TSR4	Twenty S rRNA accumulation	NA
YDL229W	SSB1	Stress-Seventy subfamily B	NA
YNL209W	SSB2	Stress-Seventy subfamily B	NA
YOR046C	DBP5	Dead Box Protein	Essential gene; reduction of function causes slow vegetative growth, heat sensitivity and elevated sensitivity to paromomycin and hygromycin B; overexpression of dominant negative allele blocks poly(A)+ mRNA export from nucleus
YMR186W	HSC82	NA	Non-essential gene; null mutant is sensitive to freeze-thaw; in large-scale experiments null mutants are sensitive to cycloheximide, streptomycin, fluconazole, show decreased telomere lengths and decreased competitive fitness, and increased production and excretion of inositol (Opi-)

YPL084W	BRO1	BCK1-like Resistance to Osmotic shock	Non-essential gene; null mutant has a growth defect, is heat sensitive, and displays decreased competitive fitness on both fermentative and respiratory growth media; null mutant has a decreased ability to use raffinose as carbon source; null mutant has a reduced ability to target Doa4p to the endosome, an inability to sort MVB cargo protein to the vacuole and a strong vacuolar fragmentation defect; null mutant has decreased resistance to ionic stress, cadmium and manganese treatment, oxidative stress, and desiccation; null mutant is defective in regulating intracellular pH and displays decreased resistance to acid pH; null mutant has decreased telomere length, reduced innate thermotolerance, and a decreased ability to form biofilms; null mutant displays increased accumulation of cadmium, calcium and alanine and decreased accumulation of glycogen; homozygous diploid null mutant has a sporulation defect; heterozygous null mutant is haploinsufficient
YDL160C	DHH1	DEAD box Helicase Homolog	Non-essential gene; null mutant exhibits slow growth, shortened chronological and replicative lifespan, heat sensitivity, increased apoptosis, inability to sporulate, and increased resistance to 2-deoxyglucose; in large-scale studies, null mutant shows slow growth, reduced competitive fitness in several different media, poor utilization of various nitrogen sources, and altered resistance to various chemicals

YDR513W	GRX2	GlutaRedoXin	NA
YDR272W	GLO2	GLyOxalase	NA
YGR100W	MDR1	Mac1-Dependent Regulator	NA
YNL163C	RIA1	RIbosome Assembly	NA
YKR054C	DYN1	DYNein	Non-essential gene; null mutant shows abnormal spindle orientation and impaired nuclear migration; in systematic studies mutants exhibit decreased competitive fitness and sensitivity to paromomycin, streptomycin and rapamycin
YBR011C	IPP1	Inorganic PyroPhosphatase	NA
YBL076C	ILS1	IsoLeucine-tRNA Synthetase	NA
YDR424C	DYN2	DYNein	Non-essential gene; in systematic studies mutants display reduced endocytosis, increased sensitivity to caffeine, camptothecin, mycophenolic acid, and increased resistance to cycloheximide, MMS, bleomycin
YOL126C	MDH2	Malate DeHydrogenase	NA
YPL015C	HST2	Homolog of SIR Two (SIR2)	NA
YDL207W	GLE1	GLFG (glycine-leucine-phenylalanine-glycine) LEthal	NA
YDR155C	CPR1	Cyclosporin A-sensitive Proline Rotamase	Non-essential gene; null mutation confers increased sensitivity to oxidative stress-inducing agents, such as hydrogen peroxide and menadione, and to sulfuric acid and ethanol; null mutant exhibits increased resistance to cyclosporin and rapamycin; homozygous null mutant diploid shows delays sporulation; in systematic studies mutants are sensitive to streptomycin, fenpropimorph, tunicamycin and bleomysin, but resistant to mycophenolic acid
YLR006C	SSK1	Suppressor of Sensor Kinase	NA
YBR267W	REI1	REquired for Isotropic bud growth	NA
YMR174C	PAI3	Proteinase A Inhibitor	NA
YGR268C	HUA1	NA	NA
YPR005C	HAL1	HALotolerance	NA
YAL049C	AIM2	Altered Inheritance rate of Mitochondria	Non-essential gene; null mutant displays a decreased frequency of spontaneous mitochondrial genome loss; null mutant is ethanol sensitive; null mutant displays increased survival following a ramped heat stimulus; overexpression results in decreased filamentous group and an inability to undergo invasive growth

YJL217W	REE1	REgulation of Enolase	NA
YPL263C	KEL3	KELch	NA
YBR138C	NA	NA	NA
YOR284W	HUA2	NA	NA
YLR427W	MAG2	NA	NA
YPL108W	NA	NA	NA
YNL212W	VID27	Vacuolar Import and Degradation	NA
YKR078W	NA	NA	NA
YDR067C	OCA6	Oxidant-induced Cell-cycle Arrest	NA
YCR095C	OCA4	Oxidant-induced Cell-cycle Arrest	NA
YHL029C	OCA5	Oxidant-induced Cell-cycle Arrest	NA
YDL001W	RMD1	Required for Meiotic nuclear Division	NA
YFR017C	IGD1	Inhibitor of Glycogen Debranching	NA
YPL137C	GIP3	Glc7 Interacting Protein	NA
YAL031C	GIP4	Glc7 Interacting Protein	Non-essential gene; null mutant displays increased competitive fitness; overexpression causes abnormal budding and actin cytoskeleton and nuclear morphology

YIR001C	SGN1	Slower Growth on Non-fermentable carbon sources	NA
YCL037C	SRO9	Suppressor of rho3	NA
YDR247W	VHS1	Viable in a Hal3 Sit4 background	NA
YGR209C	TRX2	ThioRedoXin	NA
YLR043C	TRX1	ThioRedoXin	NA
YDR353W	TRR1	ThioRedoxin Reductase	NA
YGR204W	ADE3	ADEnine requiring	Non-essential gene; null mutant displays adenine and histidine auxotrophy; in large-scale studies null mutant shows decreased competitive fitness

YOL097C	WRS1	W (tryptophan) RS (tRNA synthetase)	Essential gene; in large-scale studies, repression causes reduced competitive fitness while overexpression confers slow growth and resistance to rapamycin

YBR125C	PTC4	Phosphatase Two C	NA
YGR185C	TYS1	TYrosyl-tRNA Synthetase	Essential gene; tys1-1 ts mutant accumulates tRNA-Tyr in the nucleus at restrictive temperature; in large-scale studies, repression causes lower competitive fitness; diploid homozygous tys1-1 ts mutant displays reduced sporulation efficiency; diploid heterozygous null mutant has altered resistance to human cationic antimicrobial peptides

YLR024C	UBR2	NA	NA
YPR062W	FCY1	FluoroCYtosine resistance	NA
YBL007C	SLA1	Synthetic Lethal with ABP1	Non-essential gene; null mutant is temperature sensitive, has a decreased growth rate, decreased competitive fitness in various growth media and a respiratory growth defect; homozygous diploid null mutant has abnormally round cells, a random budding pattern, cell size heterogeneity, actin cytoskeleton defects that are more pronounced at elevated temperature and defects in HU-induced filamentous growth; null mutant has an endocytotic defect, resulting in a reduction in the localization of Bud8p, and Rax2p to growing bud tips; null mutant displays decreased resistance to hyperosmotic and oxidative stress, metals, acid pH, and has decreased thermotolerance; chitin deposition is increased at least two fold in the null mutant

YPL061W	ALD6	ALdehyde Dehydrogenase	Non-essential gene; null mutant displays decreased growth rate, competitive fitness and an inability to utilize ethanol as a carbon source; null mutant is defective for acetate formation during anaerobic growth, and for glycogen accumulation; null mutant is sensitive to oxidative stress, but displays increased resistance to methylmercury, hyperosmotic stress, nitrogen starvation and zinc limitation

YPL091W	GLR1	GLutathione Reductase	NA
YHR019C	DED81	Defines Essential Domain	Essential gene in a systematic study; in a large-scale survey, repression leads to increased chromosomal rearrangements and chromosome loss 
YLR027C	AAT2	Aspartate AminoTransferase	Non-essential gene in S288C, but essential in the Sigma1278b background; S288C null mutant displays a decreased growth rate and decreased competitive fitness in rich medium, temperature sensitivity, and a decreased respiratory growth rate; null mutant is sensitive to DNA synthesis inhibitors, DNA damaging agents and topoisomerase inhibitors; null mutant has decreased resistance to hyperosmotic stress, metals, and zymolyase; null mutant displays decreased chronological lifespan; homozygous null mutant has decreased sporulation efficiency

YJR148W	BAT2	Branched-chain Amino acid Transaminase	Non-essential gene; null mutant displays increased competitive fitness in rich media containing 6% ethanol, and decreased fitness in minimal medium; null mutant has increased resistance to stress caused by zinc deficiency, and increased resistance to the antifungal agent miconazole; null mutant displays decreased levels of isobutanol, amyl alcohol and isoamyl alcohol

YGR088W	CTT1	CaTalase T	Non-essential gene; null mutant has lengthened chronological lifespan; null mutant is sensitive to desiccation, heat shock, oxidative stress, and various chemicals; null mutant exhibits increased formation of the [Psi+] prion; in large-scale studies competitive fitness of the null mutant is reduced in minimal media but increased in glycerol- or ethanol-containing media

YNL259C	ATX1	AnTioXidant	Non-essential gene; null mutants show decreased competitive fitness, poor anoxic growth, are impaired in respiration, sensitive to cycloheximide, curcumin, antifungal ciclopirox olamine, and cardiovascular drug amiodarone; heterozygous diploid nulls are sensitive to starvation

YJR104C	SOD1	SuperOxide Dismutase	Non-essential gene; null mutant requires lysine and methionine, displays a respiratory growth defect and decreased chronological and replicative lifespan, and is sensitive to a variety of environmental stresses including oxidative stress, desiccation, alkaline pH, and the presence of various chemicals; in large-scale studies the null mutant displays altered resistance to a variety of chemicals

YNL015W	PBI2	Proteinase B Inhibitor	NA
YDR321W	ASP1	ASParaginase	Non-essential gene; in competitive-growth studies null mutant shows reduced fitness; in systematic studies null mutant has lower rate of utilization of ammonium as nitrogen source

YPL160W	CDC60	Cell Division Cycle	Essential gene; reduction of function increases sensitivity to rapamycin; conditional mutants are subject to chromosome instability at semi-permissive temperature, arrest in G1 as unbudded cells with a single nucleus at elevated temperatures; overexpression slows vegetative growth, enhances pseudohyphal growth; heterozygous diploid nulls are haploinsufficient, sensitive to protein synthesis inhibitor tavaborole

YLR174W	IDP2	Isocitrate Dehydrogenase, NADP-specific	NA
YGL220W	BOL2	BolA-like protein	NA
YFR048W	RMD8	Required for Meiotic nuclear Division	NA
YLR058C	SHM2	Serine HydroxyMethyltransferase	NA
YDR023W	SES1	SEryl-tRNA Synthetase	Essential gene; in large-scale studies, overexpression causes slow growth

YDL178W	DLD2	D-Lactate Dehydrogenase	Non-essential gene; null mutant exhibits abnormal actin cytoskeleton morphology, defects in cytokinesis and increased extracellular levels of lactate; overexpression results in decreased F-actin levels and multibudded cells with elongated bud necks; in systematic studies mutants are sensitive to copper, amidarone, MMS
YEL066W	HPA3	Histone and other Protein Acetyltransferase	NA
YML086C	ALO1	D-Arabinono-1,4-Lactone Oxidase	Non-essential gene; null mutant is hypersensitive to oxidative stress and shows increased genome instability; overexpression increases resistance to oxidative stress and decreases growth rate

YER124C	DSE1	Daughter Specific Expression	Non-essential gene; null mutation causes defects in cell separation and increased pheromone sensitivity; overexpression causes decreased pheromone sensitivity and increased invasive growth; in systematic studies null mutant diploids show increased sensitivity to cell wall-affecting chemicals; overexpression causes slow growth
YOR264W	DSE3	Daughter Specific Expression	Non-essential gene; in systematic studies null mutation causes decreased competitive fitness
YNR067C	DSE4	Daughter Specific Expression	Non-essential gene; in systematic studies mutants show decreased competitive fitness, mutant diploids in strain Sigma1278b show reduced cytokinesis and increased invasive growth; overexpression causes slow growth and increased invasive growth
YHR143W	DSE2	Daughter Specific Expression	Non-essential gene; in systematic studies mutants show decreased competitive fitness and shortened chronological lifespan, mutant diploids in strain Sigma1278b show reduced cytokinesis and increased pseudohyphal growth; mutants also exhibit decreased biofilm formation and increased resistance to miconazole
YOR022C	DDL1	DDHD Domain-containing Lipase	NA
YLR276C	DBP9	Dead Box Protein	Essential gene; conditional (ts) mutation confers slow growth at permissive temperature; reduction-of-function mutations in systematic studies confer increased resistance to cycloheximide and increased sensitivity to MMS and hydroxyurea
YJL033W	HCA4	Helicase CA	NA
YCR077C	PAT1	Protein Associated with Topoisomerase II	NA
YER013W	PRP22	Pre-mRNA Processing	Essential gene; conditional (ts) mutant accumulates unspliced intron-containing RNAs; reduction of function results in opi- phenotype (excretion of inositol in the absence of inositol and choline), sensitivity to benomyl and MMS, and shortening of telomeres

YKR086W	PRP16	Pre-mRNA Processing	NA
YKR029C	SET3	SET domain-containing	Non-essential gene; null mutant shows increased acetylation of histone H3, increased sensitivity to mycophenolic acid and tunicamycin, decreased transposition of Ty transposable elements, and increased sporulation in homozygous diploid; overexpression increases sensitivity to hydroxyurea and nocodazole

YMR110C	HFD1	Homolog of Fatty aldehyde Dehydrogenase	Non-essential gene; null mutant is sensitive to extracellular sphingosine and dihydrosphingosine

YIL080W	NA	NA	NA
YBR007C	DSF2	Deletion Suppressor of mptFive/pufFive mutation	Non-essential gene; null mutant shows increased replicative lifespan; in systematic studies mutants show decreased competitive fitness and increased sensitivity to calcium chelator BAPTA
YHR037W	PUT2	Proline UTilization	Non-essential gene; null mutant is unable to utilize proline as a nitrogen source and becomes growth-inhibited by proline; in systematic studies null mutant shows decreased competitive fitness, shortened chronological lifespan, and sensitivity to hyperosmotic stress

YER023W	PRO3	PROline requiring	Non-essential gene; null mutant is auxotrophic for proline and fails to grow in standard rich medium (YPD) without proline supplementation; conditional (ts) mutant shows chromosome instability

YML008C	ERG6	ERGosterol biosynthesis	Non-essential gene; null mutant cannot synthesize ergosterol but accumulates zymosterol; null mutant fails to exhibit lifespan extension under caloric restriction and is sensitive to metals and alkaline pH; overproduction leads to abnormal nuclear and actin cytoskeletal morphology; in large-scale studies, null mutant exhibits reduced competitive fitness and sensitivity to various drugs, but increased resistance to azole antifungal drugs and amphotericin B

YOR274W	MOD5	tRNA MODification	Non-essential gene; null mutant exhibits reduced respiratory growth and shows sensitivity to 5-FU at high temperatures; in large-scale studies, the null mutant displays reduced competitive fitness in a variety of media, decreased endocytosis, lower resistance to starvation or hyperosmotic stress, and decreased tRNA gene-mediated silencing

YGL055W	OLE1	OLEic acid requiring	Essential gene under standard conditions; null mutant is viable with oleic acid supplementation; heat-sensitive mutant requires oleic acid at restrictive temperature but displays abnormal distribution of mitochondria even at permissive temperature; overexpression confers increased resistance to ethanol; in large-scale studies, overexpression causes increased invasive growth

YPL195W	APL5	clathrin Adaptor Protein complex Large chain	Non-essential gene; null mutant is defective in vacuolar protein transport and shows some vacuolar fragmentation; also shows abnormal accumulation of polyphosphates and excretion of inositol; null mutant is also sensitive to Congo Red, caffeine, camptothecin, caspofungin, fluconazole, rapamycin

YDL004W	ATP16	ATP synthase	Non-essential gene; null mutation causes "petite" phenotype - slow growth on glucose and no growth with non-fermentable carbon sources, indicating respiratory deficiency; null mutant also shows increased frequency of mitochondrial genome loss (rho- mutations)

YFR051C	RET2	RETrieval from ER	NA
YMR149W	SWP1	Suppressor of a WbP1 mutation	NA
YGR083C	GCD2	General Control Derepressed	NA
YHR144C	DCD1	dCMP Deaminase	Non-essential gene; mutants exhibit dUMP and dTMP auxotrophy and resistance to 5-fluoro-2-deoxycytidylate
YOR346W	REV1	REVersionless	NA
YJR070C	LIA1	Ligand of eIF5A	NA
YHR068W	DYS1	DeoxyhYpusine Synthase	Essential gene; depletion leads to cell cycle arrest at G1 in a large-scale study

YBR252W	DUT1	DUTp pyrophosphatase	Essential gene; null mutant can be rescued by exogenous thymidylate (dTMP); reduction-of-function mutants show cell cycle arrest at G2/M transition, decreased exponential growth rate and increased mutation frequency

YNR057C	BIO4	BIOtin	Non-essential gene; null mutant has increase competitive fitness in minimal medium; null mutant displays a reduced ability to utilize glutamine as nitrogen source; null mutant displays increased sensitivity to the biotin vitamers 7,8-diaminopelargonic acid and 7-keto-8-aminopelargonic; heterozygous diploid null is haploinsufficient
YPL072W	UBP16	UBiquitin-specific Protease	NA
YFL044C	OTU1	Ovarian TUmor	NA
YOR245C	DGA1	DiacylGlycerol Acyltransferase	Non-essential gene; null mutation results in reduced level of triglycerides and abnormal morphology of lipid particles; overexpression causes elevated lipid accumulation; mutants in systematic studies show decreased anaerobic growth, elevated polyphosphates, increased sensitivity to flucytosine, and reduced competitive fitness
YOR311C	DGK1	DiacylGlycerol Kinase	Non-essential gene; null mutant displays increased replicative lifespan; overexpression causes heat sensitivity and abnormal nuclear morphology; in systematic studies mutants show increased sensitivity to hydroxyurea, caffeine, cycloheximide, camptothecin, bleomycin and DMSO
YDR284C	DPP1	Diacylglycerol Pyrophosphate Phosphatase	Non-essential gene; null mutant accumulates diacylglycerol pyrophosphate; in systematic studies mutants show sensitivity to DMSO and increased competitive fitness
YDR530C	APA2	AP4A phosphorylase	Non-essential gene; null mutant shows sensitivity to myriocin and small vacuolar fragmentation; in large-scale studies homozygous null mutant diploid is sensitive to soraphen A and cerulenin

YBR153W	RIB7	RIBoflavin biosynthesis	NA
YOR236W	DFR1	DihydroFolate Reductase	Non-essential gene; null mutant in some strain backgrounds shows adenine, histidine, methionine and dTMP auxotrophy, and inability to grow under respiratory growth conditions; overexpression confers resistance to methotrexate; mutants in S288C strain is inviable in a systematic study and repression leads to cell cycle defects and increased frequency of chromosome loss
YMR113W	FOL3	FOLic acid synthesis	NA
YNL071W	LAT1	NA	NA
YFL018C	LPD1	LiPoamide Dehydrogenase	Non-essential gene; null mutant is defective in respiratory growth and sensitive to canavanine and dipyridyl disulfide

YDR148C	KGD2	alpha-KetoGlutarate Dehydrogenase	NA
YLR420W	URA4	URAcil requiring	NA
YKL216W	URA1	URAcil requiring	Non-essential gene; null mutant requires uracil, is sensitive to 5-fluorouracil, and is resistant to N-carbamoyl-L-aspartic acid; in large-scale studies, the null mutant shows increased competitive fitness in minimal media and reduced competitive fitness in several other media; null mutant displays sensitivity to anoxia and altered resistance to a variety of chemicals; diploid homozygous null mutant displays increased innate thermotolerance and resistance to oxidative stress

YKR053C	YSR3	Yeast Sphingolipid Resistance	NA
YDR294C	DPL1	Dihydrosphingosine Phosphate Lyase	Non-essential gene; null mutant accumulates phosphorylated forms of phytosphingosine derivatives and shows increased sensitivity to sphingoid long-chain bases; in systematic studies mutants display increased resistance to hydroxyurea, caffeine, tunicamycin, bleomycin, tirapazamine and miconazole
YNR015W	SMM1	Suppressor of Mitochondrial Mutation	NA
YLR405W	DUS4	DihydroUridine Synthase	Non-essential gene; mutants show increased competitive fitness and slight vacuolar fragmentation
YLR401C	DUS3	DihydroUridine Synthase	Non-essential gene; null mutant is sensitive to fluorouracil at elevated temperature; in systematic studies mutants display slow growth and hyperosmotic stress sensitivity
YML080W	DUS1	DihydroUridine Synthase	Non-essential gene; in systematic studies mutants exhibit decreased competitive fitness in rich medium and increased fitness in synthetic medium; overexpression causes slow growth
YML070W	DAK1	DihydroxyAcetone Kinase	Non-essential gene; null mutant is sensitive to dihydroacetone (glycerone); in systematic studies, mutants show poor growth under anaerobic conditions; overexpression in strain Sigma1278b leads to greatly increased filamentous growth
YJR016C	ILV3	IsoLeucine-plus-Valine requiring	NA
YDR399W	HPT1	Hypoxanthine guanine PhosphoribosylTransferase	NA
YDR305C	HNT2	Histidine triad NucleoTide-binding	NA
YGL010W	MPO1	Metabolism of PHS to Odd-numbered fatty acids	NA
YOR219C	STE13	STErile	NA
YHR028C	DAP2	Dipeptidyl AminoPeptidase	Non-essential gene; in systematic studies, null mutation causes slightly reduced competitive fitness and decreased growth under anaerobic conditions
YOL057W	NA	NA	NA
YLR143W	DPH6	DiPHthamide biosynthesis	Non-essential gene; null mutation confers resistance to diphtheria toxin and to antifungal metabolite sordarin; in systematic studies mutants exhibit reduced competitive fitness, elevated sensitivity to acrolein, and increased resistance to toxaphene
YLL026W	HSP104	Heat Shock Protein	Non-essential gene; null mutant shows decreased thermotolerance, shortened replicative lifespan, and increased loss of [PSI+] prion; overexpression slow growth and increased resistance to rapamycin

YOL122C	SMF1	Suppressor of Mitochondria import Function	NA
YHR050W	SMF2	Suppressor of Mitochondria import Function	NA
YER062C	GPP2	Glycerol-3-Phosphate Phosphatase	NA
YMR156C	TPP1	Three Prime Phosphatase	NA
YOR258W	HNT3	Histidine triad NucleoTide-binding	NA
YER111C	SWI4	SWItching deficient	Non-essential gene; null mutant has large cells, abnormal cell walls, and is sensitive to DNA damage, antifungals, alcohols, cold; homozygous diploid null shows a G2/M phase transition delay, and is impaired in sporulation; overexpression slows growth, interferes with silencing and budding

YHR120W	MSH1	MutS Homolog	NA
YML113W	DAT1	DATin	Non-essential gene; in systematic studies, null mutation causes reduced competitive fitness and decreased biofilm formation
YKL112W	ABF1	ARS-Binding Factor 1	Essential gene; overexpression variously reported to cause sensitivity to nocodazol, decreased growth rate, or lethality; conditional mutants show delayed progression through G2 phase

YLR098C	CHA4	Catabolism of Hydroxy Amino acids	Non-essential gene; in systematic studies null mutants show increased accumulation of serine, increased sensitivity to neomycin, glyoxal, tellurite, and reduced fitness
YIL122W	POG1	Promoter Of Growth	NA
YPL248C	GAL4	GALactose metabolism	Non-essential gene; null mutants cannot utilize galactose, and show increased resistance to antimalarial quinine, caffeine, and many common chemicals; conditional and reduced function mutants can be heat-sensitive; overexpression slows vegetative growth and increases filamentous growth

YLR288C	MEC3	Mitosis Entry Checkpoint	NA
YPL194W	DDC1	DNA Damage Checkpoint	Non-essential gene; null mutant exhibits high frequency of mutations due to chromosome instability and chromosomal rearrangements; null mutation causes elevated sensitivity to DNA-affecting agents (MMS, 5-fluorouracil, 4-aminofolic acid); in systematic studies mutants are also sensitive to camptothecin, hydroxyurea, gamma and UV radiation, but resistant to caffeine, cycloheximide, fenpropimorph, fluconazole, bleomycin
YDR217C	RAD9	RADiation sensitive	Non-essential gene; null mutant is sensitive to DNA damaging agents, DNA synthesis and topoisomerase inhibitors; null mutant is sensitive to X-rays, gamma rays and UV radiation; null mutant displays increased chromosome instability including gross chromosomal rearrangements, but decreased reversion rate in the presence of high doses of DNA damaging agents; null mutant displays elevated levels of sumoylated Rfa1p, Rfa2p, and Rad52p after DNA damage; null mutant has a decreased duration of S phase and impaired growth on non-fermentative carbon sources, decreased oxidative stress resistance, and decreased chronological lifespan; overexpression results in a decreased rate of vegetative growth

YER143W	DDI1	DNA Damage Inducible	Non-essential gene; null mutant displays increased protein secretion; in systematic studies null mutation increases chronological lifespan and competitive fitness, and slows down vegetative growth rate
YPL153C	RAD53	RADiation sensitive	Gene variously classified as essential and as non-essential; null and point mutants display sensitivity to DNA-damaging agents, including MMS, HU, UV light, and X-rays, and an abnormal mitotic cell cycle; apoptotic DNA degradation is more rapid in rad53-21 mutant than in wild type; in large-scale studies, replicative lifespan of the null mutant is shortened, while overexpression impedes growth

YMR173W	DDR48	DNA Damage Responsive	Non-essential gene; null mutant shows increased survival in the presence of gold nanoparticles; in systematic studies mutants show sensitivity to hyperosmotic stress and to myriocin
YBR073W	RDH54	RaD54 Homolog	NA
YER176W	ECM32	ExtraCellular Mutant	NA
YGL163C	RAD54	RADiation sensitive	Non-essential gene; null mutant is sensitive to DNA damaging agents, DNA synthesis and topoisomerase inhibitors; null mutant is sensitive to X-rays, gamma rays and UV radiation; null displays increased chromosome instability, increased loss-of-heterozygosity in diploids, increased mutation rate and elevated Ty element transposition; null mutant has abnormally elongated buds and decreased duration of the G1 phase; null mutant is temperature sensitive, and displays decreased competitive fitness on rich and synthetic media; null mutant is unable to switch mating types, has increased stationary phase thermotolerance, and decreased oxidative stress resistance; diploid null displays increased sporulation efficiency and haploid has decreased spore germination; null contains large-budded cells with nuclear extensions at the nuclear envelope, adjacent to the nucleolus

YJL092W	SRS2	Suppressor of Rad Six	Non-essential gene; null mutant shows chromosome instability, increased mitotic recombination and UV sensitivity; in systematic studies null mutants are sensitive to DNA damaging factors, such as gamma rays, X rays, camptothecin, cisplating, MMS, hydroxyurea; homozygous null mutant diploids show reduced spore germination; overexpression causes delay in S phase of the cell cycle

YPR204W	NA	NA	NA
YHR031C	RRM3	rDNA Recombination Mutation	NA
YML061C	PIF1	Petite Integration Frequency	Non-essential gene; null mutant shows elevated frequency of mutations and gross chromosomal rearrangements; null mutant accumulates more iron than wild type in mitochondria and cytoplasm, and more zinc in mitochondria; null mutant is sensitive to DNA damaging agents and oxidative stress but resistant to Zn++; inheritance of the mitochondrial genome is defective in the null mutant; in large-scale studies, null mutant shows respiratory growth defect, small cell size, reduced competitive fitness in a variety of different media, lengthened telomeres, and altered resistance to various chemicals

YLR032W	RAD5	RADiation sensitive	Non-essential gene; null mutant displays sensitivity to DNA-damaging agents, including MMS, HU, UV light, and X-rays; null mutant has increased chromosomal rearrangement and instability; in large-scale studies, null mutant displays decreased competitive fitness and oxidative stress resistance, and altered sensitivity to various chemicals

YJL073W	JEM1	DnaJ-like protein of the ER Membrane	NA
YDL164C	CDC9	Cell Division Cycle	Essential gene; conditional mutations cause cell cycle arrest in S phase, increased mutation frequency and decreased resistance to MMS and X rays

YOR005C	DNL4	DNA Ligase	Non-essential gene; null mutation causes abnormal cell morphology; defects in meiosis, increased mutation frequency, reduced X ray resistance and sensitivity to phleomycin
YAL015C	NTG1	eNdonuclease Three-like Glycosylase	Non-essential gene; null mutant shows increased mutation rate and fails to increase mitochondrial genome copy number after oxidative stress;
YOL043C	NTG2	eNdonuclease Three-like Glycosylase	NA
YOR386W	PHR1	PHotoreactivation Repair deficient	NA
YDR419W	RAD30	RADiation sensitive	Non-essential gene; null mutant is highly sensitive to UV and gamma radiation and shows elevated mutation frequency

YCR014C	POL4	POLymerase	Non-essential gene; null mutant is sensitive to MMS and shows increased mutation frequency; in systematic studies null mutation lowers sensitivity to bleomycin and tunicamycin, but increases sensitivity to cicloheximide

YDL200C	MGT1	O-6-MethylGuanine-DNA methylTransferase	Non-essential gene; null mutant shows cell cycle arrest at G1/S transition at elevated temperature and is sensitive to DNA-affecting drugs (MMS, MMNG)

YLR103C	CDC45	Cell Division Cycle	NA
YJL090C	DPB11	DNA Polymerase B (II)	Essential gene; conditional mutant delays in S phase at the permissive temperature and arrests there at the restrictive temperature; conditional and repressible mutants display elevated rates of gross chromosomal rearrangements, chromosome loss and an increase in spontaneous DNA damage; conditional alleles display elevated heteroallelic recombination rates and reduced direct-repeat recombination; some conditional alleles display slow DSB repair kinetics and reduced efficiency of mating type switching; heterozygous diploid null is haploinsufficient; overexpression enhances invasive growth

YJR046W	TAH11	Topo-A Hypersensitive	NA
YLR234W	TOP3	TOPoisomerase	NA
YLR422W	DCK1	DoCK1 homolog	NA
YMR013C	SEC59	SECretory	Essential gene; conditional class B sec mutant displays reduced N-linked glycosylation and secretion of carboxypeptidase Y, invertase, and alpha-factor; incorporation of myo-inositol and palmitic acid into GPI-membrane anchored proteins is decreased at restrictive temperatures; conditional mutant has reduced membrane levels of dolichyl phosphate, elevated cell wall chitin levels, and decreased resistance to calcofluor white and caspofungin; overexpression results in elevated colony sectoring due to increased mini-chromosome loss; heterozygous diploid null is haploinsufficient

YPR183W	DPM1	Dolichol Phosphate Mannose synthase	Essential gene; conditional mutants display impaired N- and O-linked glycosylation, and decreased incorporation of myo-inositol into GPI-membrane anchored proteins; conditional mutant has an aberrant cell wall structure, increased chitin deposition and increased sensitivity to calcofluor white and to cell wall, and plasma membrane-directed antifungal agents; conditional mutant displays elevated phosphorylation of Slt2p, a measure of activation of the cell wall integrity pathway; repressible allele has an abnormal mitochondrial morphology

YBL082C	ALG3	Asparagine Linked Glycosylation	Non-essential gene; null mutant is sensitive to reducing agents such as mercaptoethanol and DTT; null mutant has increased replicative and chronological lifespans and is resistant to killer toxin HM-1; in large-scale studies, null mutant shows reductions in competitive fitness, desiccation resistance, vegetative growth, and respiratory growth

